2015,58,251,345,131,93,606,191
2016,303,362,473,208,123,766,426
2017,423,439,470,242,176,815,552
2018,675,560,537,367,273,1021,792
2019,823,567,651,443,372,1106,902
2020,879,708,605,502,459,1192,974
